name,prefectures,note,area,startYear,startMonth,startDay,endYear,endMonth,endDay,sonota
記憶の珍味、諏訪綾子展,東京,注目を集めるフードアーティスト・諏訪綾子の個展,関東,2019,11,1,2020,3,15,関東
ねことしあわせDAYS.vol2,大阪,大丸梅田店全館がねこだらけに,関西,2020,2,19,2020,3,3,関西
山元いちご農園いちご狩り,宮城,東北最大規模のいちご農園,東北,2020,2,19,2020,6,30,東北
観光農園、森のいちご狩り,香川,四国香川県自慢のさぬき姫が60分食べ放題,四国,2019,12,28,2020,5,31,四国
白龍湖観光農園、いちご狩り,広島,中国地方広島人気の7品種2万株が食べ放題,中国,2020,1,3,2020,5,31,中国
かき小屋inベイサイド,福岡,九州福岡で新鮮で美味しいカキを堪能,九州,2019,11,29,2020,3,15,九州
完全予約制・いちご畑、いちご狩り,愛知,東海地方の名古屋で唯一のいちご狩り園,東海(その他),2019,12,21,2020,6,1,東海
山岸農園、いちご狩り,福井,北陸福井のあわら市の駅からも近い、味にこだわったいちご園,北陸(その他),2020,2,1,2020,5,31,北陸
あんずの里アグリパーク、いちご狩り,長野,甲信越地方甘みの強いあきひめがお勧め,甲信越(その他),2019,12,7,2020,6,30,甲信越
フルーツランド、白根グレープガーデン、いちご狩り,新潟,えちごひめなど約10種類のいちごが揃う,北信越(その他),2020,1,31,2020,6,30,北信越
ノーザンホースパーク・冬期入園無料,北海道,入園無料で多彩な催しを満喫,北海道(その他),2019,11,6,2020,6,10,北海道
